numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
9677,Professores Rede Municipal ,Juiz de Fora/MG,,categoria,poder executivo/municipal,5/11/1994,30,propositiva,-,-
9679,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,5/1/1994,1,propositiva,-,-
9700,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Cuiabá/MT,UFMT - UNIVERSIDADE FEDERAL DE MATO GROSSO,categoria,poder executivo/federal,5/12/1994,1,-,defensiva,protesto
10048,Professores Rede Estadual,MS,,categoria,poder executivo/estadual,7/22/1996,52,-,defensiva,-
10050,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,5/21/1996,52,propositiva,defensiva,-
10052,Professores Rede Municipal,Toledo/PR,,categoria,poder executivo/municipal,6/17/1996,20,-,defensiva,-
10055,Professores Rede Municipal,Contagem/MG,,categoria,poder executivo/municipal,6/14/1996,52,-,defensiva,-
10059,Professores Rede Municipal,Areia Branca/RN,,categoria,poder executivo/municipal,7/2/1996,10,-,defensiva,-
10062,Professores Rede Estadual,AC,,categoria,poder executivo/estadual,7/17/1996,2,propositiva,defensiva,-
10092,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Salvador/BA,,categoria,poder executivo/municipal,7/4/1996,32,propositiva,defensiva,protesto
10166,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,6/22/1994,1,propositiva,-,-
10181,Professores Rede Estadual,SC,,categoria,poder executivo/estadual,6/1/1994,1,propositiva,-,-
10184,Professores Rede Municipal,Rio de Janeiro/RJ,,categoria,poder executivo/municipal,6/14/1994,24,propositiva,-,-
10204,Auxiliares de Administração Escolar Rede Federal Ensino Superior,SC,UFSC - UNIVERSIDADE FEDERAL DE SANTA CATARINA,categoria,poder executivo/federal,4/20/1994,51,propositiva,-,-
10210,Auxiliares de Administração Escolar Rede Municipal,Belém/PA,,categoria,poder executivo/municipal,6/27/1994,1,propositiva,-,-
